Titulo,Autor,ImgUrl,SiteUrl,Preco
Lady Killers: Assassinas em Série: As mulheres mais letais da história - Em uma edição igualmente matadora,Tori Telfer,"https://images-na.ssl-images-amazon.com/images/I/51h4aHf4aQL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Lady-Killers-Assassinas-em-S%C3%A9rie/dp/8594541473/ref=zg_bs_books_38/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 39,99"
Todo esse tempo,Rachael Lippincott,"https://images-na.ssl-images-amazon.com/images/I/8132cJm73bL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Todo-esse-tempo-Rachael-Lippincott/dp/6588131089/ref=zg_bs_books_39/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 22,78"
A morte é um dia que vale a pena viver: E um excelente motivo para se buscar um novo olhar para a vida,Ana Claudia Quintana Arantes,"https://images-na.ssl-images-amazon.com/images/I/615KDfCxHFL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/morte-dia-vale-pena-viver/dp/8543107202/ref=zg_bs_books_40/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 29,35"
Sapiens (Nova edição): Uma breve história da humanidade,Yuval Noah Harari,"https://images-na.ssl-images-amazon.com/images/I/71-ghLb8qML._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Sapiens-Nova-edi%C3%A7%C3%A3o-hist%C3%B3ria-humanidade/dp/8535933921/ref=zg_bs_books_41/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 45,40"
O milagre da manhã: O segredo para transformar sua vida (antes das 8 horas),Hal Elrod,"https://images-na.ssl-images-amazon.com/images/I/41zcA8iynSL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/milagre-manh%C3%A3-Hal-Elrod/dp/8576849941/ref=zg_bs_books_42/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 20,40"
As cinco linguagens do amor - 3 edição: Como expressar um compromisso de amor a seu cônjuge,Gary Chapman,"https://images-na.ssl-images-amazon.com/images/I/71da0pEmHoL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/cinco-linguagens-amor-expressar-compromisso/dp/8573258926/ref=zg_bs_books_43/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 31,95"
Mindset: A nova psicologia do sucesso,Carol S. Dweck,"https://images-na.ssl-images-amazon.com/images/I/71Ils%2BCo9fL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Mindset-Carol-S-Dweck/dp/8547000240/ref=zg_bs_books_44/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 38,30"
1984,George Orwell,"https://images-na.ssl-images-amazon.com/images/I/819js3EQwbL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/1984-George-Orwell/dp/8535914846/ref=zg_bs_books_45/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 18,24"
Malibu renasce,Taylor Jenkins Reid,"https://images-na.ssl-images-amazon.com/images/I/81FICwL24GL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Malibu-renasce-Taylor-Jenkins-Reid/dp/8584392165/ref=zg_bs_books_46/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 24,20"
Cartas de um diabo a seu aprendiz,C. S. Lewis,"https://images-na.ssl-images-amazon.com/images/I/A10exFnc-iL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Cartas-Um-Diabo-Seu-Aprendiz/dp/857860184X/ref=zg_bs_books_47/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 19,00"
Kit Um de nós (acompanha marcadores),Karen M. McManus,"https://images-na.ssl-images-amazon.com/images/I/811%2BcSVUW-S._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Kit-Um-n%C3%B3s-acompanha-marcadores/dp/850130476X/ref=zg_bs_books_48/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 39,90"
Pra vida toda valer a pena viver: Pequeno manual para envelhecer com alegria,Ana Claudia Quintana Arantes,"https://images-na.ssl-images-amazon.com/images/I/71w56RjloML._AC_UL200_SR200,200_.jpg",www.amazon.com.br/vida-toda-valer-pena-viver/dp/6555642424/ref=zg_bs_books_49/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 38,96"
A Sutil Arte de Ligar o F*da-Se: Uma estratégia inusitada para uma vida melhor,Mark Manson,"https://images-na.ssl-images-amazon.com/images/I/6175IU0qFgL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Sutil-Arte-Ligar-Se/dp/855100249X/ref=zg_bs_books_50/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 19,40"
