Titulo,Autor,ImgUrl,SiteUrl,Preco
Fortaleza digital,Dan Brown,https://m.media-amazon.com/images/I/813u-TWUsBL._AC_UY218_.jpg,www.amazon.com.br/Fortaleza-digital-Dan-Brown-ebook/dp/B00Y14YVBK/ref=sr_1_19?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-19,"R$ 26,91"
O poder do hábito,Charles Duhigg,https://m.media-amazon.com/images/I/81XTXQEVPlL._AC_UY218_.jpg,www.amazon.com.br/poder-do-h%C3%A1bito-Charles-Duhigg/dp/8539004119/ref=sr_1_20?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-20,"R$ 36,90"
A divina comédia,Dante Alighieri,https://m.media-amazon.com/images/I/515np6FFXmL._AC_UY218_.jpg,www.amazon.com.br/divina-com%C3%A9dia-Dante-Alighieri/dp/B086W7RC5X/ref=sr_1_21?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-21,"R$ 41,40"
Desbloqueie o poder da sua mente: Programe o seu subconsciente para se libertar das dores e inseguranças e transforme sua vida,Michael Arruda,https://m.media-amazon.com/images/I/91zFLdx3DyL._AC_UY218_.jpg,www.amazon.com.br/Desbloqueie-poder-sua-mente-subconsciente/dp/8545202539/ref=sr_1_22?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-22,"R$ 19,86"
Origin: A Novel: 5,Dan Brown,https://m.media-amazon.com/images/I/91uvivS6LHL._AC_UY218_.jpg,www.amazon.com.br/Origin-Novel-Dan-Brown/dp/0525563709/ref=sr_1_23?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-23&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,"R$ 48,83"
Meditações: Edição com postais + marcador,Marco Aurélio,https://m.media-amazon.com/images/I/612B0id4gNL._AC_UY218_.jpg,www.amazon.com.br/Medita%C3%A7%C3%B5es-Marco-Aur%C3%A9lio/dp/8552100916/ref=sr_1_24?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-24,"R$ 19,78"
Deception Point,Dan Brown,https://m.media-amazon.com/images/I/81OhVH4FE-L._AC_UY218_.jpg,www.amazon.com.br/Deception-Point-Dan-Brown/dp/0743497465/ref=sr_1_25?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-25&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,"R$ 88,49"
Quebrando o hábito de ser você mesmo: Como reconstruir sua mente e criar um novo eu,Celso Paschoa,https://m.media-amazon.com/images/I/61me0V6JIKL._AC_UY218_.jpg,www.amazon.com.br/Quebrando-H%C3%A1bito-Ser-Voc%C3%AA-Mesmo/dp/8568014321/ref=sr_1_26?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-26,"R$ 23,39"
Não fale com estranhos: Livro que está na Netflix,Harlan Coben,https://m.media-amazon.com/images/I/910k7aIby1L._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg2_1?ie=UTF8&adId=A0956349UZBRR8X0QP9P&url=%2FN%25C3%25A3o-fale-estranhos-Harlan-Coben%2Fdp%2F8580415713%2Fref%3Dsr_1_27_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_2%26keywords%3Ddan%2Bbrown%26qid%3D1638805661%26s%3Dbooks%26sr%3D1-27-spons%26psc%3D1&qualifier=1638805661&id=5700921124566938&widgetName=sp_mtf,"R$ 17,90"
Desaparecido para sempre: Livro que está na Netflix,Harlan Coben,https://m.media-amazon.com/images/I/71cTjvZ35ZL._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg2_1?ie=UTF8&adId=A09561613LPM13UPL684Z&url=%2FDesaparecido-para-sempre-Harlan-Coben%2Fdp%2F8530600479%2Fref%3Dsr_1_28_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_2%26keywords%3Ddan%2Bbrown%26qid%3D1638805661%26s%3Dbooks%26sr%3D1-28-spons%26psc%3D1&qualifier=1638805661&id=5700921124566938&widgetName=sp_mtf,"R$ 19,90"
Homo Deus,Yuval Noah Harari,https://m.media-amazon.com/images/I/81ql3Ty2O2L._AC_UY218_.jpg,www.amazon.com.br/Homo-deus-Yuval-Noah-Harari/dp/8535928197/ref=sr_1_29?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-29,"R$ 47,50"
The Da Vinci Code: 2,Dan Brown,https://m.media-amazon.com/images/I/91Q5dCjc2KL._AC_UY218_.jpg,www.amazon.com.br/Vinci-Code-Dan-Brown/dp/0307474275/ref=sr_1_30?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-30&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,"R$ 49,25"
Mulher Maravilha - 50: Estado Futuro 2 de 2,Becky Cloonan,https://m.media-amazon.com/images/I/51yrjYVVzvL._AC_UY218_.jpg,www.amazon.com.br/Mulher-Maravilha-50-Estado-Futuro/dp/6559605965/ref=sr_1_31?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-31,"R$ 20,90"
O menino do bosque,Harlan Coben,https://m.media-amazon.com/images/I/71gQBt1zUJL._AC_UY218_.jpg,www.amazon.com.br/menino-do-bosque-Harlan-Coben/dp/6555650966/ref=sr_1_32?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-32,"R$ 23,71"
Mindhunter... O Primeiro Caçador de Serial Killers Americano,John Douglas,https://m.media-amazon.com/images/I/51mq86rF7GS._AC_UY218_.jpg,www.amazon.com.br/Mindhunter-Primeiro-Ca%C3%A7ador-Killers-Americano/dp/8551001736/ref=sr_1_33?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-33,"R$ 26,66"
Desaparecido para sempre: Livro que está na Netflix,Harlan Coben,https://m.media-amazon.com/images/I/71cTjvZ35ZL._AC_UY218_.jpg,www.amazon.com.br/Desaparecido-para-sempre-Harlan-Coben/dp/8530600479/ref=sr_1_34?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-34,"R$ 19,90"
O livro da psicologia (reduzido),Vários,https://m.media-amazon.com/images/I/81RdI1Qn7HL._AC_UY218_.jpg,www.amazon.com.br/Livro-Psicologia-V%C3%A1rios-Autores/dp/8525062499/ref=sr_1_35?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-35,"R$ 36,43"
O crepúsculo e a aurora,Ken Follett,https://m.media-amazon.com/images/I/81JiywIC8LL._AC_UY218_.jpg,www.amazon.com.br/crep%C3%BAsculo-aurora-Ken-Follett/dp/6555650184/ref=sr_1_36?__mk_pt_BR=%3Fref%3Dsr_pg_2&keywords=dan+brown&qid=1638805661&s=books&sr=1-36,"R$ 39,90"
Eu devia estar sonhando,Michel Bussi,https://m.media-amazon.com/images/I/81LJEBz7-MS._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg2_1?ie=UTF8&adId=A0989845HN3BIPRQ1G4L&url=%2Fdevia-estar-sonhando-Michel-Bussi%2Fdp%2F6555651466%2Fref%3Dsr_1_37_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_2%26keywords%3Ddan%2Bbrown%26qid%3D1638805661%26s%3Dbooks%26sr%3D1-37-spons%26psc%3D1&qualifier=1638805661&id=5700921124566938&widgetName=sp_btf,"R$ 37,40"
O terceiro gêmeo,Ken Follett,https://m.media-amazon.com/images/I/81HGFYD5iRL._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg2_1?ie=UTF8&adId=A09566852JFRDYO3IA6UI&url=%2Fterceiro-g%25C3%25AAmeo-Ken-Follett%2Fdp%2F6555652063%2Fref%3Dsr_1_38_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_2%26keywords%3Ddan%2Bbrown%26qid%3D1638805661%26s%3Dbooks%26sr%3D1-38-spons%26psc%3D1&qualifier=1638805661&id=5700921124566938&widgetName=sp_btf,"R$ 36,60"
